PRcon599_14:6	you	PP(PP)	you
PRcon599_14:7	are	VBP(VBP)	be
PRcon599_14:8	from	IN(IN)	from

PRcon599_15:1	_0	PA(PA)	
PRcon599_15:2	yeah	RE(RE)	yeah
PRcon599_15:3	_0	PA(PA)	
PRcon599_15:4	i	PP(PP)	i
PRcon599_15:5	'm	VBP(VBP)	be
PRcon599_15:6	from	IN(IN)	from
PRcon599_15:7	michigan	NP(NP)	michigan
PRcon599_15:8	_1	PA(PA)	
PRcon599_15:9	but	CC(CC)	but
PRcon599_15:10	or-	XX(XX)	

PRcon599_16:1	from	IN(IN)	from
PRcon599_16:2	michigan	NP(NP)	michigan

PRcon599_17:1	originally	RB(RB)	originally
PRcon599_17:2	from	IN(IN)	from
PRcon599_17:3	korea	NP(NP)	korea
PRcon599_17:4	_0	PA(PA)	

PRcon599_18:1	mhm	RE(RE)	mhm

PRcon599_19:1	aha	RE(RE)	aha
PRcon599_19:2	okay	RE(RE)	okay
PRcon599_19:3	_0	PA(PA)	

PRcon599_20:1	mhm	RE(RE)	mhm
PRcon599_20:2	_1	PA(PA)	

PRcon599_21:1	and	CC(CC)	and
PRcon599_21:2	what	WP(WP)	what
PRcon599_21:3	about	IN(IN)	about
PRcon599_21:4	you	PP(PP)	you
PRcon599_21:5	_1	PA(PA)	

PRcon599_22:1	@@@@@@@	LA(LA)	

PRcon599_23:1	@@	LA(LA)	

PRcon599_24:1	in	IN(IN)	in
PRcon599_24:2	english	NP(NP)	english
PRcon599_24:3	@@	LA(LA)	

PRcon599_25:1	yes	RE(RE)	yes

PRcon599_26:1	i	PP(PP)	i
PRcon599_26:2	'm	VBP(VBP)	be
PRcon599_26:3	_0	PA(PA)	
PRcon599_26:4	i	PP(PP)	i
PRcon599_26:5	'm	VBP(VBP)	be
PRcon599_26:6	from	IN(IN)	from
PRcon599_26:7	germany	NP(NP)	germany
PRcon599_26:8	_0	PA(PA)	

PRcon599_27:1	you	PP(PP)	you
PRcon599_27:2	're	VBP(VBP)	be
PRcon599_27:3	from	IN(IN)	from
PRcon599_27:4	germany	NP(NP)	germany
PRcon599_27:5	right	DM(DM)	right
PRcon599_27:6	_0	PA(PA)	
PRcon599_27:7	and	CC(CC)	and
PRcon599_27:8	what	WP(WP)	what
PRcon599_27:9	about	IN(IN)	about
PRcon599_27:10	you	PP(PP)	you
PRcon599_27:11	_0	PA(PA)	

PRcon599_28:1	from	IN(IN)	from
PRcon599_28:2	germany	NP(NP)	germany
PRcon599_28:3	too	RB(RB)	too

PRcon599_29:1	from	IN(IN)	from
PRcon599_29:2	germany	NP(NP)	germany
PRcon599_29:3	too	RB(RB)	too
PRcon599_29:4	_0	PA(PA)	

PRcon599_30:1	hm	RE(RE)	hm

PRcon599_31:1	okay	RE(RE)	okay
PRcon599_31:2	_1	PA(PA)	
PRcon599_31:3	so	DM(DM)	so
