LEint551_24:4	fell	VVD(VV)	fall
LEint551_24:5	th-	XX(XX)	
LEint551_24:6	fall	VV(VV)	fall
LEint551_24:7	down	RB(RB)	down
LEint551_24:8	the	DT(DT)	the
LEint551_24:9	horse	NN(NN)	horse

LEint551_25:1	no	RE(RE)	no
LEint551_25:2	@@@	LA(LA)	
LEint551_25:3	hh	BR(BR)	
LEint551_25:4	and	CC(CC)	and
LEint551_25:5	erm	UH(UH)	erm
LEint551_25:6	i	PP(PP)	i
LEint551_25:7	also	RB(RB)	also
LEint551_25:8	_0	PA(PA)	
LEint551_25:9	er	UH(UH)	er
LEint551_25:10	played	VVD(VVD)	play
LEint551_25:11	tennis	NN(NN)	tennis
LEint551_25:12	er	UH(UH)	er
LEint551_25:13	p_bice	PVC(NNS)	

LEint551_26:1	mhm	RE(RE)	mhm
LEint551_26:2	_0	PA(PA)	
LEint551_26:3	mhm	RE(RE)	mhm

LEint551_27:1	er	UH(UH)	er
LEint551_27:2	we	PP(PP)	we
LEint551_27:3	_0	PA(PA)	
LEint551_27:4	rent	V(VVD)	rent
LEint551_27:5	went	VVD(VVD)	go
LEint551_27:6	bike	UNK(V)	bike
LEint551_27:7	_0	PA(PA)	

LEint551_28:1	mhm	RE(RE)	mhm

LEint551_29:1	mhm	RE(RE)	mhm

LEint551_30:1	bikes	NNS(NNS)	bike
LEint551_30:2	_0	PA(PA)	
LEint551_30:3	and	CC(CC)	and
LEint551_30:4	er	UH(UH)	er
LEint551_30:5	the	DT(DT)	the
LEint551_30:6	pe-	XX(XX)	
LEint551_30:7	_0	PA(PA)	
LEint551_30:8	there	EX(EX)	there
LEint551_30:9	are	VBP(VBP)	be
LEint551_30:10	others	NNS(NNS)	other
LEint551_30:11	who	PRE(PRE)	who
LEint551_30:12	made	VVD(VVD)	make
LEint551_30:13	rafting	VVG(NN)	raft/rafting
LEint551_30:14	_0	PA(PA)	

LEint551_31:1	mhm	RE(RE)	mhm

LEint551_32:1	hhh	BR(BR)	
LEint551_32:2	and	CC(CC)	and
LEint551_32:3	so	DM(DM)	so
LEint551_32:4	erm	UH(UH)	erm
LEint551_32:5	_0	PA(PA)	
LEint551_32:6	so	DM(DM)	so
LEint551_32:7	yesterday	RB(RB)	yesterday
LEint551_32:8	we	PP(PP)	we
LEint551_32:9	we	PP(PP)	we
LEint551_32:10	were	VBD(VBD)	be
LEint551_32:11	here	RB(RB)	here
LEint551_32:12	to	TO(TO)	to
LEint551_32:13	_0	PA(PA)	
LEint551_32:14	to	TO(TO)	to
LEint551_32:15	pass	VV(VV)	pass
LEint551_32:16	f-	XX(XX)	
LEint551_32:17	_0	PA(PA)	
LEint551_32:18	to	TO(TO)	to
LEint551_32:19	pass	VV(VV)	pass
LEint551_32:20	yeah	RE(RE)	yeah
LEint551_32:21	to	TO(TO)	to
LEint551_32:22	stay	VV(VV)	stay
LEint551_32:23	here	RB(RB)	here
LEint551_32:24	five	CD(CD)	five
LEint551_32:25	days	NNS(NNS)	day
LEint551_32:26	_0	PA(PA)	

LEint551_33:1	so	DM(DM)	so
LEint551_33:2	till	IN(IN)	till
LEint551_33:3	thursday	NP(NP)	thursday
LEint551_33:4	you	PP(PP)	you
LEint551_33:5	'll	MD(MD)	will
LEint551_33:6	stay	VV(VV)	stay

LEint551_34:1	sorry	FI(FI)	sorry

LEint551_35:1	will	MD(MD)	will
LEint551_35:2	you	PP(PP)	you
LEint551_35:3	stay	VV(VV)	stay
LEint551_35:4	till	IN(IN)	till
LEint551_35:5	thursday	NP(NP)	thursday
LEint551_35:6	_0	PA(PA)	

LEint551_36:1	yeah	RE(RE)	yeah

LEint551_37:1	yeah	RE(RE)	yeah

LEint551_38:1	yeah	RE(RE)	yeah
