PRint602_22:7	a	DT(DT)	a
PRint602_22:8	successful	JJ(JJ)	successful
PRint602_22:9	meeting	VVG(NN)	meet/meeting

PRint602_23:1	yes	RE(RE)	yes
PRint602_23:2	it	PP(PP)	it
PRint602_23:3	's	VBS(VBS)	be
PRint602_23:4	good	JJ(JJ)	good
PRint602_23:5	yeah	RE(RE)	yeah

PRint602_24:1	yes	RE(RE)	yes

PRint602_25:1	it	PP(PP)	it
PRint602_25:2	's	VBS(VBS)	be
PRint602_25:3	a	DT(DT)	a
PRint602_25:4	good	JJ(JJ)	good
PRint602_25:5	atmosphere	NN(NN)	atmosphere

PRint602_26:1	there	EX(EX)	there
PRint602_26:2	're	VBP(VBP)	be
PRint602_26:3	very	RB(RB)	very
PRint602_26:4	famous	JJ(JJ)	famous
PRint602_26:5	all	DT(DT)	all
PRint602_26:6	new	JJ(JJ)	new
PRint602_26:7	scholars	NNS(NNS)	scholar
PRint602_26:8	and	CC(CC)	and
PRint602_26:9	er	UH(UH)	er
PRint602_26:10	students	NNS(NNS)	student
PRint602_26:11	came	VVD(VVD)	come
PRint602_26:12	here	RB(RB)	here

PRint602_27:1	mhm	RE(RE)	mhm

PRint602_28:1	and	CC(CC)	and
PRint602_28:2	er	UH(UH)	er
PRint602_28:3	_0	PA(PA)	
PRint602_28:4	every	DT(DT)	every
PRint602_28:5	year	NN(NN)	year
PRint602_28:6	i	PP(PP)	i
PRint602_28:7	i	PP(PP)	i
PRint602_28:8	join	VVP(VVP)	join
PRint602_28:9	this	DT(DT)	this
PRint602_28:10	conference	NN(NN)	conference
PRint602_28:11	_0	PA(PA)	
PRint602_28:12	every	DT(DT)	every
PRint602_28:13	year	NN(NN)	year
PRint602_28:14	and	CC(CC)	and
PRint602_28:15	especially	RB(RB)	especially
PRint602_28:16	i	PP(PP)	i
PRint602_28:17	took	VVD(VVD)	take
PRint602_28:18	er	UH(UH)	er
PRint602_28:19	this	DT(DT)	this
PRint602_28:20	year	NN(NN)	year
PRint602_28:21	_0	PA(PA)	
PRint602_28:22	the	DT(DT)	the
PRint602_28:23	vienna	NP(NP)	vienna
PRint602_28:24	is	VBZ(VBZ)	be
PRint602_28:25	very	RB(RB)	very
PRint602_28:26	a	DT(DT)	a
PRint602_28:27	beautiful	JJ(JJ)	beautiful
PRint602_28:28	city	NN(NN)	city

PRint602_29:1	yes	RE(RE)	yes

PRint602_30:1	and	CC(CC)	and
PRint602_30:2	er	UH(UH)	er
PRint602_30:3	wonderful	JJ(JJ)	wonderful
PRint602_30:4	_0	PA(PA)	
PRint602_30:5	people	NNS(NNS)	people

PRint602_31:1	is	VBZ(VBZ)	be
PRint602_31:2	this	DT(DT)	this
PRint602_31:3	your	PP$(PP$)	you
PRint602_31:4	first	JJ(JJ)	first
PRint602_31:5	time	NN(NN)	time
PRint602_31:6	in	IN(IN)	in
PRint602_31:7	vienna	NP(NP)	vienna

PRint602_32:1	yes	RE(RE)	yes

PRint602_33:1	yes	RE(RE)	yes

PRint602_34:1	mhm	RE(RE)	mhm

PRint602_35:1	and	CC(CC)	and
PRint602_35:2	you	PP(PP)	you
PRint602_35:3	like	VVP(VVP)	like
PRint602_35:4	it	PP(PP)	it
PRint602_35:5	_0	PA(PA)	

PRint602_36:1	oh	UH(UH)	oh
PRint602_36:2	er	UH(UH)	er
PRint602_36:3	it	PP(PP)	it
PRint602_36:4	's	VBS(VBS)	be
