PRint33_15:13	my	PP$(PP$)	i
PRint33_15:14	ideal	JJ(JJ)	ideal
PRint33_15:15	and	CC(CC)	and
PRint33_15:16	er	UH(UH)	er
PRint33_15:17	we	PP(PP)	we
PRint33_15:18	have	VHP(VHP)	have
PRint33_15:19	our	PP$(PP$)	we
PRint33_15:20	xxxxx	UNI(UNI)	
PRint33_15:21	environment	NN(NN)	environment
PRint33_15:22	_0	PA(PA)	

PRint33_16:1	mhm	RE(RE)	mhm

PRint33_17:1	and	CC(CC)	and
PRint33_17:2	we	PP(PP)	we
PRint33_17:3	will	MD(MD)	will
PRint33_17:4	use	VV(VV)	use
PRint33_17:5	our	PP$(PP$)	we
PRint33_17:6	small	JJ(JJ)	small
PRint33_17:7	device	NN(NN)	device
PRint33_17:8	er	UH(UH)	er
PRint33_17:9	we	PP(PP)	we
PRint33_17:10	just	RB(RB)	just
PRint33_17:11	our	PP$(PP$)	we
PRint33_17:12	_0	PA(PA)	
PRint33_17:13	a	DT(DT)	a
PRint33_17:14	test	NN(NN)	test
PRint33_17:15	part	NN(NN)	part
PRint33_17:16	architecture	NN(NN)	architecture
PRint33_17:17	_0	PA(PA)	
PRint33_17:18	so	DM(DM)	so
PRint33_17:19	i	PP(PP)	i
PRint33_17:20	_0	PA(PA)	
PRint33_17:21	redesigned	VVD(VVD)	redesign
PRint33_17:22	our	PP$(PP$)	we
PRint33_17:23	architecture	NN(NN)	architecture
PRint33_17:24	for	IN(IN)	for
PRint33_17:25	small	JJ(JJ)	small
PRint33_17:26	device	NN(NN)	device

PRint33_18:1	okay	RE(RE)	okay
PRint33_18:2	you	PP(PP)	you
PRint33_18:3	design	VVP(VVP)	design
PRint33_18:4	it	PP(PP)	it

PRint33_19:1	yeah	RE(RE)	yeah

PRint33_20:1	mhm	RE(RE)	mhm
PRint33_20:2	and	CC(CC)	and
PRint33_20:3	when	WRB(WRB)	when
PRint33_20:4	was	VBD(VBD)	be
PRint33_20:5	your	PP$(PP$)	you
PRint33_20:6	presentation	NN(NN)	presentation
PRint33_20:7	or	CC(CC)	or

PRint33_21:1	yesterday	RB(RB)	yesterday

PRint33_22:1	yesterday	RB(RB)	yesterday

PRint33_23:1	yeah	RE(RE)	yeah

PRint33_24:1	and	CC(CC)	and
PRint33_24:2	it	PP(PP)	it
PRint33_24:3	went	VVD(VVD)	go
PRint33_24:4	well	RB(RB)	well
PRint33_24:5	_0	PA(PA)	

PRint33_25:1	xx	UNI(UNI)	
PRint33_25:2	_0	PA(PA)	
PRint33_25:3	i	PP(PP)	i
PRint33_25:4	think	VVP(VVP)	think
PRint33_25:5	yes	RE(RE)	yes

PRint33_26:1	yes	RE(RE)	yes
PRint33_26:2	and	CC(CC)	and
PRint33_26:3	were	VBD(VBD)	be
PRint33_26:4	there	EX(EX)	there
PRint33_26:5	also	RB(RB)	also
PRint33_26:6	a	DT(DT)	a
PRint33_26:7	discussion	NN(NN)	discussion
PRint33_26:8	about	IN(IN)	about
PRint33_26:9	your	PP$(PP$)	you
PRint33_26:10	topic	NN(NN)	topic
PRint33_26:11	about	IN(IN)	about
PRint33_26:12	your	PP$(PP$)	you
PRint33_26:13	presentation	NN(NN)	presentation
PRint33_26:14	or	CC(CC)	or
PRint33_26:15	erm	UH(UH)	erm
PRint33_26:16	did	VVD(VVD)	do
PRint33_26:17	you	PP(PP)	you
PRint33_26:18	get	VV(VV)	get
PRint33_26:19	any	DT(DT)	any
PRint33_26:20	feedback	NN(NN)	feedback
PRint33_26:21	already	RB(RB)	already
PRint33_26:22	_0	PA(PA)	

PRint33_27:1	no	RE(RE)	no

PRint33_28:1	not	RB(RB)	not
PRint33_28:2	yet	RB(RB)	yet

PRint33_29:1	yeah	RE(RE)	yeah
PRint33_29:2	_0	PA(PA)	

PRint33_30:1	but	CC(CC)	but
PRint33_30:2	erm	UH(UH)	erm
PRint33_30:3	do	VVP(VVP)	do
PRint33_30:4	you	PP(PP)	you
PRint33_30:5	think	VV(VV)	think
PRint33_30:6	it	PP(PP)	it
PRint33_30:7	's	VBS(VBS)	be
PRint33_30:8	er	UH(UH)	er
PRint33_30:9	it	PP(PP)	it
PRint33_30:10	's	VBS(VBS)	be
PRint33_30:11	er	UH(UH)	er
PRint33_30:12	it	PP(PP)	it
PRint33_30:13	's	VBS(VBS)	be
PRint33_30:14	a	DT(DT)	a
PRint33_30:15	good	JJ(JJ)	good
PRint33_30:16	place	NN(NN)	place
PRint33_30:17	to	TO(TO)	to
PRint33_30:18	meet	VV(VV)	meet
PRint33_30:19	here	RB(RB)	here
PRint33_30:20	in	IN(IN)	in
PRint33_30:21	vienna	NP(NP)	vienna
PRint33_30:22	for	IN(IN)	for
PRint33_30:23	_0	PA(PA)	
PRint33_30:24	different	JJ(JJ)	different
PRint33_30:25	scientists	NNS(NNS)	scientist
PRint33_30:26	_1	PA(PA)	

PRint33_31:1	i	PP(PP)	i
PRint33_31:2	think	VVP(VVP)	think
PRint33_31:3	i	PP(PP)	i
PRint33_31:4	do	VVP(VVP)	do
PRint33_31:5	n't	RB(RB)	not
PRint33_31:6	know	VV(VV)	know
PRint33_31:7	_0	PA(PA)	
PRint33_31:8	er	UH(UH)	er
PRint33_31:9	it	PP(PP)	it
PRint33_31:10	's	VBS(VBS)	be
PRint33_31:11	quite	RB(RB)	quite
PRint33_31:12	good	JJ(JJ)	good
PRint33_31:13	place	NN(NN)	place
PRint33_31:14	but	CC(CC)	but
PRint33_31:15	_1	PA(PA)	
PRint33_31:16	it	PP(PP)	it
PRint33_31:17	's	VBS(VBS)	be
PRint33_31:18	xx	UNI(UNI)	
PRint33_31:19	problem	NN(NN)	problem
PRint33_31:20	is	VBZ(VBZ)	be
PRint33_31:21	x	UNI(UNI)	
PRint33_31:22	language	NN(NN)	language

PRint33_32:1	the	DT(DT)	the
PRint33_32:2	language	NN(NN)	language

PRint33_33:1	yeah	RE(RE)	yeah
PRint33_33:2	yeah	RE(RE)	yeah

PRint33_34:1	but	CC(CC)	but
PRint33_34:2	er	UH(UH)	er
PRint33_34:3	i	PP(PP)	i
PRint33_34:4	th-	XX(XX)	
PRint33_34:5	i	PP(PP)	i
PRint33_34:6	think	VVP(VVP)	think
PRint33_34:7	most	JJS(JJS)	most
PRint33_34:8	people	NNS(NNS)	people
PRint33_34:9	speak	VVP(VVP)	speak
PRint33_34:10	english	NP(NP)	english
PRint33_34:11	and	CC(CC)	and

PRint33_35:1	yeah	RE(RE)	yeah

PRint33_36:1	so	DM(DM)	so
PRint33_36:2	it	PP(PP)	it
PRint33_36:3	is	VBZ(VBZ)	be
PRint33_36:4	not	RB(RB)	not
PRint33_36:5	a	DT(DT)	a
PRint33_36:6	big	JJ(JJ)	big
PRint33_36:7	problem	NN(NN)	problem
PRint33_36:8	because	IN(IN)	because
PRint33_36:9	you	PP(PP)	you
PRint33_36:10	also	RB(RB)	also
PRint33_36:11	speak	VVP(VVP)	speak
PRint33_36:12	english	NP(NP)	english

PRint33_37:1	yeah	RE(RE)	yeah
PRint33_37:2	that	DT(DT)	that
PRint33_37:3	in	IN(IN)	in
PRint33_37:4	_0	PA(PA)	
PRint33_37:5	in	IN(IN)	in
PRint33_37:6	conference	NN(NN)	conference
PRint33_37:7	er	UH(UH)	er
PRint33_37:8	is	VBZ(VBZ)	be
PRint33_37:9	okay	JJ(JJ)	okay
PRint33_37:10	but	CC(CC)	but
PRint33_37:11	it	PP(PP)	it
PRint33_37:12	's	VBS(VBS)	be
PRint33_37:13	outside	RB(RB)	outside
PRint33_37:14	always	RB(RB)	always

PRint33_38:1	outside	RB(RB)	outside
PRint33_38:2	all	RB(RB)	all
PRint33_38:3	right	RB(RB)	right

PRint33_39:1	i	PP(PP)	i
PRint33_39:2	ca	MD(MD)	can
PRint33_39:3	n't	RB(RB)	not
PRint33_39:4	read	VV(VV)	read
PRint33_39:5	any	DT(DT)	any
PRint33_39:6	sign	NN(NN)	sign
PRint33_39:7	in	IN(IN)	in
PRint33_39:8	a	DT(DT)	a
PRint33_39:9	meeting	VVG(NN)	meet/meeting

PRint33_40:1	yes	RE(RE)	yes
PRint33_40:2	that	DT(DT)	that
PRint33_40:3	's	VBS(VBS)	be
PRint33_40:4	a	DT(DT)	a
PRint33_40:5	problem	NN(NN)	problem

