PRint597_30:7	f-	XX(XX)	
PRint597_30:8	f-	XX(XX)	
PRint597_30:9	a	DT(DT)	a
PRint597_30:10	room	NN(NN)	room
PRint597_30:11	_0	PA(PA)	

PRint597_31:1	this	DT(DT)	this
PRint597_31:2	things	NNS(NNS)	thing

PRint597_32:1	full	JJ(JJ)	full
PRint597_32:2	of	IN(IN)	of
PRint597_32:3	people	NNS(NNS)	people
PRint597_32:4	but	CC(CC)	but
PRint597_32:5	now	RB(RB)	now
PRint597_32:6	_1	PA(PA)	

PRint597_33:1	oh	UH(UH)	oh
PRint597_33:2	okay	RE(RE)	okay
PRint597_33:3	_0	PA(PA)	
PRint597_33:4	okay	RE(RE)	okay

PRint597_34:1	only	RB(RB)	only
PRint597_34:2	a	DT(DT)	a
PRint597_34:3	couple	NN(NN)	couple

PRint597_35:1	okay	RE(RE)	okay
PRint597_35:2	not	RB(RB)	not
PRint597_35:3	bad	JJ(JJ)	bad
PRint597_35:4	not	RB(RB)	not
PRint597_35:5	bad	JJ(JJ)	bad

PRint597_36:1	@	LA(LA)	

PRint597_37:1	no	RE(RE)	no
PRint597_37:2	not	RB(RB)	not
PRint597_37:3	bad	JJ(JJ)	bad
PRint597_37:4	not	RB(RB)	not
PRint597_37:5	bad	JJ(JJ)	bad
PRint597_37:6	_0	PA(PA)	
PRint597_37:7	obviously	RB(RB)	obviously
PRint597_37:8	the	DT(DT)	the
PRint597_37:9	food	NN(NN)	food
PRint597_37:10	is	VBZ(VBZ)	be
PRint597_37:11	not	RB(RB)	not
PRint597_37:12	good	JJ(JJ)	good
PRint597_37:13	enough	RB(RB)	enough
PRint597_37:14	i	PP(PP)	i
PRint597_37:15	do	VVP(VVP)	do
PRint597_37:16	n't	RB(RB)	not
PRint597_37:17	know	VV(VV)	know
PRint597_37:18	_0	PA(PA)	
PRint597_37:19	is	VBZ(VBZ)	be
PRint597_37:20	it	PP(PP)	it
PRint597_37:21	_0	PA(PA)	

PRint597_38:1	oh	UH(UH)	oh

PRint597_39:1	hm	RE(RE)	hm

PRint597_40:1	yeah	RE(RE)	yeah
PRint597_40:2	_0	PA(PA)	
PRint597_40:3	so	DM(DM)/RB(RB)	so
PRint597_40:4	and	CC(CC)	and
PRint597_40:5	so	DM(DM)/RB(RB)	so
PRint597_40:6	_0	PA(PA)	
PRint597_40:7	actually	RB(RB)	actually
PRint597_40:8	is	VBZ(VBZ)	be
PRint597_40:9	something	NN(NN)	something
PRint597_40:10	new	JJ(JJ)	new
PRint597_40:11	for	IN(IN)	for
PRint597_40:12	us	PP(PP)	we
PRint597_40:13	_0	PA(PA)	
